Shimmer_6D72_TimestampSync_Unix_CAL,Shimmer_6D72_Accel_LN_X_CAL,Shimmer_6D72_Accel_LN_Y_CAL,Shimmer_6D72_Accel_LN_Z_CAL,Shimmer_6D72_ECG_LA-RA_24BIT_CAL,Shimmer_6D72_ECG_LL-LA_24BIT_CAL,Shimmer_6D72_ECG_LL-RA_24BIT_CAL,Shimmer_6D72_ECG_RESP_24BIT_CAL,Shimmer_6D72_ECG_Vx-RL_24BIT_CAL
ms,m/(s^2),m/(s^2),m/(s^2),mV,mV,mV,mV,mV
1.7104001234495132E12,1.9456521739130435,-6.271739130434782,3.4891304347826084,-2.79305431760005,2.6755681843242867,-0.1174861332757632,492.8917602171612,592.177567741581
1.710400123469045E12,1.934782608695652,-6.326086956521739,3.4565217391304346,-2.9055640584902833,2.6510468305405177,-0.25451722794976567,492.90164088030355,592.0909496654212
1.7104001234885767E12,1.934782608695652,-6.326086956521739,3.434782608695652,-2.994562148399609,2.5833246211200502,-0.4112375272795591,492.91368519230906,592.0393827008465
1.7104001235081084E12,1.9456521739130435,-6.293478260869565,3.4130434782608696,-3.0189392589258266,2.589238594679665,-0.42970066424616155,492.9015687586747,592.0192607664181
1.7104001235276401E12,1.9782608695652173,-6.315217391304348,3.402173913043478,-3.0425230315355103,2.6104423535397476,-0.4320806779957626,492.9118821515897,592.0147171038052
1.710400123547172E12,1.9782608695652173,-6.315217391304348,3.4130434782608696,-3.0389890717254966,2.6098653805095413,-0.42912369121595517,492.89680873117555,592.0156546849793
1.7104001235667039E12,1.9565217391304348,-6.326086956521739,3.4891304347826084,-3.053918248882085,2.6203951383108066,-0.43352311057127846,492.91116093530195,592.0164480228958
1.7104001235862356E12,1.967391304347826,-6.315217391304348,3.3478260869565215,-3.0575964519496504,2.6402285862241492,-0.4173678657255013,492.93698047840365,592.0030333999435
1.7104001236057673E12,1.9456521739130435,-6.315217391304348,3.532608695652174,-3.0854354006571056,2.6734766570897888,-0.411958743567317,492.89796267723597,591.9976963994142
1.710400123625299E12,1.9130434782608696,-6.4021739130434785,3.5978260869565215,-3.0924311986483572,2.7003059029943826,-0.3921252956539745,492.8978184339784,592.0038988594889
1.7104001236448308E12,1.9565217391304348,-6.434782608695652,3.434782608695652,-3.0956045503144924,2.7094653498489087,-0.38613920046558387,492.9175076386342,591.9911333311956
1.7104001236643625E12,1.9239130434782608,-6.391304347826087,3.5,-3.098777901980627,2.706075633296446,-0.39270226868418084,492.9425338438194,591.9815411545684
1.7104001236838943E12,1.9565217391304348,-6.413043478260869,3.4782608695652173,-3.1059179432294304,2.7181920669307793,-0.3877258762986513,492.92630647734484,591.9863733036964
1.710400123703426E12,1.9239130434782608,-6.391304347826087,3.434782608695652,-3.1165198226594715,2.7298036491636815,-0.3867161734957902,492.8920487036763,591.9857963306662
1.7104001237229578E12,1.934782608695652,-6.434782608695652,3.5217391304347827,-3.129141107695235,2.7770433160118246,-0.35209779168341065,492.90899728643865,591.9671168288132
1.7104001237424897E12,1.9021739130434783,-6.423913043478261,3.510869565217391,-3.1229386476205168,2.8059640891509163,-0.31697455846960054,492.9285422478369,591.9524040165429
