Shimmer_6D72_TimestampSync_Unix_CAL,Shimmer_6D72_Accel_LN_X_CAL,Shimmer_6D72_Accel_LN_Y_CAL,Shimmer_6D72_Accel_LN_Z_CAL,Shimmer_6D72_ECG_LA-RA_24BIT_CAL,Shimmer_6D72_ECG_LL-LA_24BIT_CAL,Shimmer_6D72_ECG_LL-RA_24BIT_CAL,Shimmer_6D72_ECG_RESP_24BIT_CAL,Shimmer_6D72_ECG_Vx-RL_24BIT_CAL
ms,m/(s^2),m/(s^2),m/(s^2),mV,mV,mV,mV,mV
1.7104021099357742E12,2.4130434782608696,-6.0978260869565215,4.8478260869565215,-7.9775176021477705,64.54402560520478,56.56650800305701,493.7816689946257,575.1377511188688
1.710402109955306E12,2.4239130434782608,-6.08695652173913,4.804347826086956,-7.983431575707385,64.53602010441067,56.55258852870328,493.7782792780733,575.1397705244744
1.7104021099748376E12,2.4239130434782608,-6.054347826086956,4.804347826086956,-7.981772778245542,64.53421706369127,56.55244428544573,493.77589926432364,575.1534736339419
1.7104021099943696E12,2.4130434782608696,-6.054347826086956,4.782608695652174,-7.987614630176381,64.53154856342657,56.54393393325019,493.74113663925374,575.155709404434
1.7104021100139014E12,2.380434782608696,-6.065217391304348,4.815217391304348,-7.990787981842516,64.52109092725408,56.53030294541156,493.7697689258777,575.1693403922726
1.710402110033433E12,2.391304347826087,-6.0978260869565215,4.826086956521739,-7.992158292789257,64.51301330483119,56.520855012041935,493.7718604531122,575.1692682706438
1.710402110052965E12,2.380434782608696,-6.1521739130434785,4.804347826086956,-7.986532805744744,64.51640302138365,56.52987021563891,493.77056226379426,575.153113025798
1.7104021100724968E12,2.391304347826087,-6.0978260869565215,4.815217391304348,-7.982566116162076,64.51459998066426,56.53203386450218,493.76911983121875,575.1534736339419
1.7104021100920286E12,2.402173913043478,-6.130434782608695,4.782608695652174,-7.986244319229641,64.5135902778614,56.527345958631756,493.7645040469771,575.160830040077
1.7104021101115605E12,2.380434782608696,-6.108695652173913,4.815217391304348,-7.997495293318665,64.52714914407125,56.52965385075258,493.72166379948425,575.1658064324625
1.7104021101310923E12,2.380434782608696,-6.0978260869565215,4.83695652173913,-7.986172197600865,64.52448064380654,56.538308446205676,493.7180577180455,575.1564306207217
1.7104021101506243E12,2.391304347826087,-6.119565217391304,4.83695652173913,-7.995836495856822,64.53154856342657,56.53571206756975,493.7247650295216,575.1497233092456
1.710402110170156E12,2.402173913043478,-6.0978260869565215,4.8478260869565215,-7.993889211879876,64.51993698119367,56.52604776931379,493.7305347598237,575.155060309775
1.7104021101896877E12,2.391304347826087,-6.108695652173913,4.858695652173913,-7.989561914153327,64.51690787278508,56.527345958631756,493.7372420712998,575.1430159977693
1.7104021102092197E12,2.402173913043478,-6.108695652173913,4.83695652173913,-7.986965535517399,64.51517695369446,56.528211418177065,493.72202440762817,575.1586663912137
1.7104021102287515E12,2.4130434782608696,-6.0978260869565215,4.880434782608695,-7.9847297650253495,64.55592567395279,56.571195908927436,493.73233780054306,575.1534015123132
1.7104021102482832E12,2.4239130434782608,-6.130434782608695,4.858695652173913,-7.959631438211375,64.54669410546948,56.58706266725811,493.72108682645404,575.1651573378035
1.7104021102678152E12,2.4239130434782608,-6.119565217391304,4.83695652173913,-7.9634538845364915,64.51553756183834,56.55208367730185,493.7135140554326,575.1668882568941
1.710402110287347E12,2.4239130434782608,-6.119565217391304,4.826086956521739,-7.9716757502169315,64.48178463957127,56.51010888935434,493.72000500202245,575.1642197566294
1.7104021103068787E12,2.4456521739130435,-6.08695652173913,4.793478260869565,-8.00578928062788,64.48921316733518,56.4834238867073,493.72563048906693,575.1616954996223
1.7104021103264106E12,2.391304347826087,-6.076086956521739,4.793478260869565,-7.99792802309132,64.47861128790514,56.48068326481382,493.7302462733086,575.1777786228394
1.7104021103459424E12,2.402173913043478,-6.0978260869565215,4.83695652173913,-8.006149888771759,64.48503011286618,56.478880224094425,493.68776663395965,575.1697731220452
1.710402110365474E12,2.4130434782608696,-6.141304347826087,4.782608695652174,-7.978960034723286,64.45423417737892,56.475274142655636,493.68538662021007,575.2285522494975
1.710402110385006E12,2.4456521739130435,-6.130434782608695,4.75,-7.840847115617647,65.21100642812328,57.37015931250564,493.70889827119095,574.9467009242417
1.7104021104045378E12,2.4347826086956523,-6.119565217391304,4.934782608695652,-8.088873396977592,65.20675125202553,57.11787785504793,493.7295971786496,574.6166723509637
1.7104021104240696E12,2.3260869565217392,-6.076086956521739,4.934782608695652,-8.074593314479985,64.51748484581529,56.4428915313353,493.6976472971019,575.1026278856549
1.7104021104436016E12,2.3369565217391304,-6.119565217391304,4.684782608695652,-7.979537007753493,64.54085225353865,56.56131524578515,493.7011812569119,575.1821780421947
1.7104021104631333E12,2.282608695652174,-6.163043478260869,4.9021739130434785,-7.980330345670026,64.5275818738439,56.547251528173874,493.72945293539203,575.205545449918
1.710402110482665E12,2.391304347826087,-6.065217391304348,4.804347826086956,-7.979320642867165,64.5299618875935,56.550641244726336,493.7430839232307,575.2100891125309
1.710402110502197E12,2.369565217391304,-6.010869565217392,4.771739130434782,-7.969872709497537,64.532053414828,56.56218070533046,493.7456081802378,575.2029490712821
1.7104021105217288E12,2.217391304347826,-6.065217391304348,4.858695652173913,-7.960857505900563,64.54503530800764,56.58417780210708,493.694401823807,575.225811627604
1.7104021105412607E12,2.25,-6.119565217391304,4.83695652173913,-7.94686590991806,64.54950684899174,56.60264093907368,493.74171361228395,575.2392983721851
